timestamp,src_ip,action,prob_attack,total_pkts,syn_ratio,port_scan_score
2026-05-20T00:42:06.496718,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:42:01.400431,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:41:06.121659,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:41:01.009235,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:40:25.612424,192.168.100.20,BLOCK,0.175,1,0.0,0.01
2026-05-20T00:40:00.496948,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:39:55.396774,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:38:55.055672,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:38:50.014076,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:37:49.760956,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:37:44.718480,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:36:49.403153,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:36:44.202197,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:35:42.899745,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:35:37.702121,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:35:32.496722,192.168.100.20,ALLOW,0.08,11,1.0,0.01
2026-05-20T00:29:28.423614,192.168.100.20,ALLOW,0.08,11,1.0,0.01
2026-05-20T00:29:17.696709,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:29:12.596365,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:27:17.277962,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:27:07.213706,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:26:16.311704,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:26:06.020300,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:25:35.322837,192.168.100.20,ALLOW,0.155,385,1.0,0.01
2026-05-20T00:22:28.724808,192.168.100.20,ALLOW,0.155,385,1.0,0.01
2026-05-20T00:21:10.555168,192.168.100.20,ALLOW,0.155,351,1.0,0.01
2026-05-20T00:20:52.619525,192.168.100.20,ALLOW,0.17,311,1.0,0.01
2026-05-20T00:20:41.416895,192.168.100.20,ALLOW,0.175,216,1.0,0.01
2026-05-20T00:20:27.118203,192.168.100.20,ALLOW,0.175,44,1.0,0.01
2026-05-20T00:18:24.414517,192.168.100.20,ALLOW,0.18,18,1.0,0.01
2026-05-20T00:17:43.715622,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:17:33.612099,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:16:42.812063,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:16:32.424608,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:15:41.717095,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:15:31.612406,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:14:31.312735,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:14:21.211409,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:13:30.224832,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-20T00:13:19.923334,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-19T20:57:47.299501,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-19T20:57:42.255467,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-19T20:56:47.005762,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-19T20:56:41.957103,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-19T20:55:41.660012,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-19T20:55:36.556024,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-19T20:54:36.255959,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-19T20:54:31.060373,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-19T20:53:30.694810,0.0.0.0,ALLOW,0.125,1,0.0,0.01
2026-05-19T20:53:25.655430,0.0.0.0,ALLOW,0.125,1,0.0,0.01
